file,scene,split,kind,density_bucket,boxes,copies_in_export,split_in_export
opencv_frame_10820_png_jpg.jpg,opencv_frame,train,indoor,d0-2,2,15,train
opencv_frame_10820_png_jpg__2.jpg,opencv_frame,train,indoor,d0-2,2,5,test
SeieeDept-023_00469_jpg.jpg,SeieeDept-023,val,outdoor,d3-5,4,4,train
output_mp4-50_jpg.jpg,output_mp4-50,test,indoor,d0-2,2,1,train
Day_202102191756_P_Right_Back_Cut1_00635_jpg.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,5,1,train
SJTU_SEIEE-182_330-02083_jpg.jpg,SJTU_SEIEE-182_330,train,unknown,d3-5,5,2,train
SJTU_SEIEE-182_330-02083_jpg__2.jpg,SJTU_SEIEE-182_330,train,unknown,d3-5,5,1,test
Day_2102191726_P_Right_Back_Cut1_00286_jpg.jpg,Day_2102191726_P_Right_Back_Cut1,train,outdoor,d3-5,7,2,train
image_541_jpg.jpg,image,train,indoor,d3-5,3,3,train
image_541_jpg__2.jpg,image,train,indoor,d3-5,3,2,train
image_87_jpg.jpg,image_87,test,indoor,d6-10,9,1,train
01-08-2022__03-32-39PM_jpg.jpg,01-08-2022__03-32-39PM,test,indoor,d3-5,3,2,train
img973602167702_jpg.jpg,img973602167702,train,unknown,d0-2,1,1,train
img973602167702_jpg__2.jpg,img973602167702,train,unknown,d0-2,1,1,test
01-08-2022__10-31-40AM_jpg.jpg,01-08-2022__10-31-40AM,train,indoor,d0-2,2,4,train
SeieeDept-024_00052_jpg.jpg,SeieeDept-024,train,outdoor,d3-5,1,1,train
SeieeDept-024_00052_jpg__2.jpg,SeieeDept-024,train,outdoor,d3-5,1,1,train
Day_202102191756_P_Right_Back_Cut1_00075_jpg.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,8,3,test
Day_202102191756_P_Right_Back_Cut1_00075_jpg__2.jpg,Day_202102191756_P_Right_Back_Cut1,val,outdoor,d6-10,8,2,valid
