frame,t_detik,occupancy,masuk,keluar,id_kumulatif
0,0.0,3,0,0,3
1,0.04,3,0,0,3
2,0.09,3,0,0,3
3,0.13,3,0,0,3
4,0.17,3,0,0,3
5,0.22,3,0,0,3
6,0.26,3,0,0,3
7,0.3,3,0,0,3
8,0.35,5,0,0,5
9,0.39,5,0,0,5
10,0.43,3,0,0,5
11,0.48,5,0,0,5
12,0.52,3,0,0,5
13,0.57,3,0,0,5
14,0.61,3,0,0,5
15,0.65,3,0,0,5
16,0.7,3,0,0,5
17,0.74,3,0,0,5
18,0.78,3,0,0,5
19,0.83,3,0,0,5
20,0.87,3,0,0,5
21,0.91,3,0,0,5
22,0.96,3,0,0,5
23,1.0,2,0,0,5
24,1.04,2,0,0,5
25,1.09,2,0,0,5
26,1.13,1,0,0,5
27,1.17,1,0,0,5
28,1.22,1,0,0,5
29,1.26,1,0,0,5
30,1.3,2,0,0,6
31,1.35,2,0,0,6
32,1.39,2,0,0,6
33,1.43,2,0,0,6
34,1.48,2,0,0,6
35,1.52,2,0,0,6
36,1.57,2,0,0,6
37,1.61,2,0,0,6
38,1.65,2,0,0,6
39,1.7,2,0,0,6
40,1.74,3,0,0,7
41,1.78,2,0,0,7
42,1.83,2,0,0,7
43,1.87,2,0,0,7
44,1.91,3,0,0,7
45,1.96,3,0,0,7
46,2.0,4,0,0,7
47,2.04,4,0,0,7
48,2.09,5,0,0,8
49,2.13,5,0,0,8
50,2.17,3,0,0,8
51,2.22,3,0,0,8
52,2.26,3,0,0,8
53,2.3,3,0,0,8
54,2.35,3,0,0,8
55,2.39,3,0,0,8
56,2.43,3,0,0,8
57,2.48,3,0,0,8
58,2.52,3,0,0,8
59,2.57,4,0,0,9
60,2.61,3,0,0,9
61,2.65,4,0,0,9
62,2.7,4,0,0,9
63,2.74,4,0,0,9
64,2.78,4,0,0,9
65,2.83,4,0,0,9
66,2.87,4,0,0,9
67,2.91,3,0,0,9
68,2.96,3,0,0,9
69,3.0,3,0,0,9
70,3.04,3,0,0,9
71,3.09,2,0,0,9
72,3.13,4,0,0,10
73,3.17,3,0,0,10
74,3.22,3,0,0,10
75,3.26,3,0,0,10
76,3.3,3,0,0,10
77,3.35,3,0,0,10
78,3.39,3,0,0,10
79,3.43,3,0,0,10
80,3.48,2,0,0,10
81,3.52,3,0,0,10
82,3.57,3,0,0,10
83,3.61,4,0,0,11
84,3.65,4,0,0,11
85,3.7,3,0,0,11
86,3.74,3,0,0,11
87,3.78,2,0,0,11
88,3.83,3,0,0,11
89,3.87,3,0,0,11
90,3.91,2,0,0,11
91,3.96,2,0,0,11
92,4.0,2,0,0,11
93,4.04,1,0,0,11
94,4.09,2,0,0,11
95,4.13,1,0,0,11
96,4.17,2,0,0,11
97,4.22,1,0,0,11
98,4.26,1,0,0,11
99,4.3,1,0,0,11
100,4.35,1,0,0,11
101,4.39,2,0,0,12
102,4.43,2,0,0,12
103,4.48,1,0,0,12
104,4.52,1,0,0,12
105,4.57,3,0,0,13
106,4.61,3,0,0,14
107,4.65,3,0,0,14
108,4.7,3,0,0,14
109,4.74,3,0,0,14
110,4.78,3,0,0,14
111,4.83,2,0,0,14
112,4.87,2,0,0,14
113,4.91,4,0,0,15
114,4.96,5,0,0,16
115,5.0,4,0,1,17
