frame,t_detik,occupancy,masuk,keluar,id_kumulatif
0,0.0,2,0,0,2
1,0.04,2,0,0,2
2,0.09,2,0,0,2
3,0.13,2,0,0,2
4,0.17,2,0,0,2
5,0.22,2,0,0,2
6,0.26,2,0,0,2
7,0.3,3,0,0,3
8,0.35,2,0,0,3
9,0.39,2,0,0,3
10,0.43,2,0,0,3
11,0.48,2,0,0,3
12,0.52,2,0,0,3
13,0.57,2,0,0,3
14,0.61,2,0,0,3
15,0.65,2,0,0,3
16,0.7,2,0,0,3
17,0.74,3,0,0,4
18,0.78,2,0,0,4
19,0.83,3,0,0,4
20,0.87,2,0,0,5
21,0.91,2,0,0,5
22,0.96,2,0,0,5
23,1.0,1,0,0,5
24,1.04,1,0,0,5
25,1.09,1,0,0,5
26,1.13,1,0,0,5
27,1.17,1,0,0,5
28,1.22,1,0,0,5
29,1.26,2,0,0,6
30,1.3,2,0,0,6
31,1.35,3,0,0,7
32,1.39,3,0,0,7
33,1.43,3,0,0,7
34,1.48,3,0,0,7
35,1.52,2,0,0,7
36,1.57,2,0,0,7
37,1.61,2,0,0,7
38,1.65,2,0,0,7
39,1.7,2,0,0,7
40,1.74,2,0,0,7
41,1.78,2,0,0,7
42,1.83,3,0,0,7
43,1.87,3,0,0,8
44,1.91,3,0,0,8
45,1.96,3,0,0,8
46,2.0,3,0,0,8
47,2.04,3,0,0,8
48,2.09,3,0,0,8
49,2.13,3,0,0,8
50,2.17,3,0,0,8
51,2.22,3,0,0,8
52,2.26,3,0,0,8
53,2.3,3,0,0,8
54,2.35,3,0,0,8
55,2.39,3,0,0,8
56,2.43,4,0,0,9
57,2.48,3,0,0,9
58,2.52,3,0,0,9
59,2.57,3,0,0,9
60,2.61,3,0,0,9
61,2.65,3,0,0,9
62,2.7,3,0,0,9
63,2.74,3,0,0,9
64,2.78,3,0,0,9
65,2.83,3,0,0,9
66,2.87,3,0,0,9
67,2.91,2,0,0,9
68,2.96,2,0,0,9
69,3.0,2,0,0,9
70,3.04,2,0,0,9
71,3.09,2,0,0,9
72,3.13,1,0,0,9
73,3.17,2,0,0,9
74,3.22,2,0,0,9
75,3.26,1,0,0,9
76,3.3,2,0,0,9
77,3.35,2,0,0,9
78,3.39,2,0,0,9
79,3.43,1,0,0,9
80,3.48,1,0,0,9
81,3.52,2,0,0,9
82,3.57,1,0,0,9
83,3.61,1,0,0,9
84,3.65,1,0,0,9
85,3.7,2,0,0,10
86,3.74,1,0,0,10
87,3.78,1,0,0,10
88,3.83,1,0,0,10
89,3.87,2,0,0,10
90,3.91,2,0,0,10
91,3.96,1,0,0,10
92,4.0,1,0,0,10
93,4.04,1,0,0,10
94,4.09,1,0,0,10
95,4.13,1,0,0,10
96,4.17,1,0,0,10
97,4.22,1,0,0,10
98,4.26,1,0,0,10
99,4.3,1,0,0,10
100,4.35,1,0,0,10
101,4.39,2,0,0,11
102,4.43,2,0,0,11
103,4.48,2,0,0,11
104,4.52,2,0,0,11
105,4.57,2,0,0,11
106,4.61,2,0,0,11
107,4.65,3,0,0,12
108,4.7,2,0,0,12
109,4.74,2,0,0,12
110,4.78,3,0,0,12
111,4.83,3,0,0,12
112,4.87,3,0,0,12
113,4.91,3,0,0,12
114,4.96,3,0,0,12
115,5.0,4,0,1,13
116,5.04,3,0,1,13
117,5.09,3,0,1,13
118,5.13,3,0,1,13
119,5.17,5,0,1,15
120,5.22,5,0,1,15
121,5.26,4,0,1,15
122,5.3,4,0,1,15
123,5.35,5,0,1,16
124,5.39,5,0,1,16
125,5.43,5,0,1,16
126,5.48,6,0,1,17
127,5.52,6,0,1,17
128,5.57,6,0,1,18
129,5.61,7,0,1,19
130,5.65,4,0,1,19
131,5.7,5,0,1,19
132,5.74,5,0,1,19
133,5.78,4,0,1,19
134,5.83,4,0,1,19
135,5.87,4,0,1,19
136,5.91,4,0,1,19
137,5.96,4,0,1,19
138,6.0,4,0,1,19
139,6.04,4,0,1,19
140,6.09,6,0,1,20
141,6.13,6,0,1,21
142,6.17,8,0,1,21
143,6.22,7,0,1,21
144,6.26,6,0,1,21
145,6.3,7,0,1,22
146,6.35,7,0,1,23
147,6.39,6,0,1,23
148,6.43,7,0,1,23
149,6.48,7,0,1,23
150,6.52,6,0,1,23
151,6.57,6,0,1,23
152,6.61,6,0,1,23
153,6.65,7,0,1,25
154,6.7,7,0,1,25
155,6.74,9,0,1,26
156,6.78,7,0,1,26
157,6.83,7,0,1,26
158,6.87,8,1,1,26
159,6.91,8,1,1,26
160,6.96,8,1,1,26
161,7.0,7,1,1,26
162,7.04,7,1,1,26
163,7.09,8,1,1,27
164,7.13,10,2,1,28
165,7.17,11,2,1,29
166,7.22,10,2,1,29
167,7.26,10,2,1,29
168,7.3,9,2,1,29
169,7.35,8,2,1,29
170,7.39,7,2,1,30
171,7.43,6,2,1,30
172,7.48,6,3,1,30
173,7.52,6,3,1,30
174,7.57,5,3,1,30
175,7.61,6,3,1,30
176,7.65,5,3,1,30
177,7.7,5,3,1,30
178,7.74,5,3,1,30
179,7.78,6,3,1,30
180,7.83,5,3,1,30
181,7.87,5,3,1,30
182,7.91,5,3,1,30
183,7.96,5,3,1,30
184,8.0,4,3,1,30
185,8.04,4,3,1,30
186,8.09,4,3,1,30
187,8.13,6,3,1,31
188,8.17,5,3,1,31
189,8.22,6,3,1,31
190,8.26,6,3,1,31
191,8.3,6,3,1,32
192,8.35,6,3,1,32
193,8.39,5,3,1,32
194,8.43,4,3,1,32
195,8.48,5,3,1,32
196,8.52,5,3,1,32
197,8.57,6,3,1,33
198,8.61,6,3,1,33
199,8.65,5,3,1,33
200,8.7,6,3,1,33
201,8.74,4,3,1,33
202,8.78,6,3,1,33
203,8.83,6,3,1,33
204,8.87,6,3,1,33
205,8.91,6,3,1,33
206,8.96,6,3,1,33
207,9.0,6,3,1,33
208,9.04,6,3,1,33
209,9.09,6,3,1,33
210,9.13,7,3,1,34
211,9.17,7,3,1,34
212,9.22,8,3,1,35
213,9.26,7,3,1,35
214,9.3,9,3,1,36
215,9.35,7,3,1,36
216,9.39,9,3,1,36
217,9.43,8,3,1,36
218,9.48,6,3,1,36
219,9.52,6,3,1,36
220,9.57,7,3,1,37
221,9.61,6,3,1,37
222,9.65,7,3,1,38
223,9.7,6,3,1,38
224,9.74,6,3,1,38
225,9.78,5,3,1,38
226,9.83,4,3,1,38
227,9.87,4,3,1,38
228,9.91,4,4,1,38
229,9.96,5,4,1,38
230,10.0,5,4,1,38
231,10.04,5,4,1,38
232,10.09,5,4,1,38
233,10.13,5,4,1,38
234,10.17,4,4,1,38
235,10.22,4,4,1,38
236,10.26,4,4,1,38
237,10.3,3,4,1,38
238,10.35,3,4,2,38
239,10.39,3,4,2,38
240,10.43,3,4,2,38
241,10.48,3,4,2,38
242,10.52,3,4,2,38
243,10.57,4,4,3,38
244,10.61,5,4,3,38
245,10.65,6,4,3,39
246,10.7,6,4,3,39
247,10.74,6,4,3,39
248,10.78,6,4,3,39
249,10.83,5,4,3,39
250,10.87,6,4,3,39
251,10.91,6,4,3,39
252,10.96,5,4,3,39
253,11.0,5,4,4,39
254,11.04,7,4,4,39
255,11.09,7,4,4,39
256,11.13,6,4,4,39
257,11.17,6,4,4,40
258,11.22,7,4,4,40
259,11.26,7,4,4,40
260,11.3,8,4,5,40
261,11.35,8,4,5,40
262,11.39,8,4,5,40
263,11.43,8,4,5,40
264,11.48,8,5,5,40
265,11.52,8,5,5,40
266,11.57,8,5,5,40
267,11.61,8,5,5,40
268,11.65,8,5,5,40
269,11.7,8,5,5,40
270,11.74,8,5,5,40
271,11.78,8,5,5,40
272,11.83,7,5,5,40
273,11.87,8,5,5,40
274,11.91,8,5,5,40
275,11.96,8,5,5,40
276,12.0,7,5,5,40
277,12.04,8,5,5,40
278,12.09,8,5,5,40
279,12.13,8,5,5,40
280,12.17,8,5,5,40
281,12.22,8,5,5,40
282,12.26,8,5,5,40
283,12.3,8,5,5,40
284,12.35,7,5,5,40
285,12.39,8,5,5,40
286,12.43,7,5,5,40
287,12.48,7,5,5,40
288,12.52,7,5,5,40
289,12.57,6,5,5,40
290,12.61,7,5,5,40
291,12.65,6,5,5,40
292,12.7,6,5,5,40
293,12.74,6,5,5,40
294,12.78,5,5,5,40
295,12.83,5,5,5,40
296,12.87,5,5,5,40
297,12.91,5,5,5,40
298,12.96,5,5,5,40
299,13.0,5,5,5,40
300,13.04,5,5,5,40
301,13.09,5,5,5,40
302,13.13,5,5,5,40
303,13.17,4,5,5,40
304,13.22,4,5,5,40
305,13.26,4,5,5,40
306,13.3,4,5,5,40
307,13.35,5,5,5,40
308,13.39,5,5,5,40
309,13.43,6,5,5,41
310,13.48,3,5,5,41
311,13.52,4,5,5,41
312,13.57,5,5,5,42
313,13.61,5,5,5,42
314,13.65,3,5,5,42
315,13.7,4,5,5,42
316,13.74,4,5,5,42
317,13.78,3,5,5,42
318,13.83,4,5,5,43
