frame,t_detik,occupancy,masuk,keluar,id_kumulatif
0,0.0,1,0,0,1
1,0.07,1,0,0,1
2,0.13,1,0,0,1
3,0.2,2,0,0,2
4,0.27,1,0,0,2
5,0.33,1,0,0,2
6,0.4,1,0,0,2
7,0.47,1,0,0,2
8,0.53,1,0,0,2
9,0.6,1,0,0,2
10,0.67,2,0,0,3
11,0.73,2,0,0,3
12,0.8,1,0,0,3
13,0.87,1,0,0,3
14,0.93,3,0,0,4
15,1.0,1,0,0,4
16,1.07,1,0,0,4
17,1.13,2,0,0,4
18,1.2,3,0,0,4
19,1.27,3,0,0,4
20,1.33,3,0,0,4
21,1.4,3,0,0,4
22,1.47,2,0,0,4
23,1.53,3,0,0,4
24,1.6,2,0,0,4
25,1.67,3,0,0,4
26,1.73,2,0,0,4
27,1.8,2,0,0,4
28,1.87,2,0,0,4
29,1.93,2,0,0,4
30,2.0,2,0,0,4
31,2.07,2,0,0,4
32,2.13,3,0,0,5
33,2.2,3,0,0,5
34,2.27,3,0,0,5
35,2.33,2,0,0,5
36,2.4,2,0,0,5
37,2.47,2,0,0,5
38,2.53,2,0,0,5
39,2.6,2,0,0,5
40,2.67,2,0,0,5
41,2.73,2,0,0,5
42,2.8,2,0,0,5
43,2.87,2,0,0,5
44,2.93,2,0,0,5
45,3.0,2,0,0,5
46,3.07,3,0,0,6
47,3.13,2,0,0,6
48,3.2,2,0,0,6
49,3.27,2,0,0,6
50,3.33,1,0,0,6
51,3.4,2,0,0,6
52,3.47,2,0,0,6
53,3.53,1,0,0,6
54,3.6,1,0,0,6
55,3.67,1,0,0,6
56,3.73,1,0,0,6
57,3.8,2,0,0,6
58,3.87,2,0,0,6
59,3.93,3,0,0,7
60,4.0,2,0,0,7
61,4.07,2,0,0,7
62,4.13,2,0,0,7
63,4.2,2,0,0,7
64,4.27,2,0,0,7
65,4.33,2,0,0,7
66,4.4,3,0,0,7
67,4.47,2,0,0,7
68,4.53,2,0,0,7
69,4.6,4,0,0,9
70,4.67,3,0,0,9
71,4.73,3,0,0,9
72,4.8,3,0,0,9
73,4.87,3,0,0,9
74,4.93,3,0,0,9
75,5.0,3,0,0,9
76,5.07,3,0,0,9
77,5.13,3,0,0,9
78,5.2,3,0,0,9
79,5.27,3,0,0,9
80,5.33,3,0,0,9
81,5.4,3,0,0,9
82,5.47,3,0,0,9
83,5.53,3,0,0,9
84,5.6,3,0,0,9
85,5.67,3,0,0,9
86,5.73,2,0,0,9
87,5.8,3,0,0,9
88,5.87,3,0,0,9
89,5.93,3,0,0,9
90,6.0,3,0,0,9
91,6.07,3,0,0,9
92,6.13,3,0,0,9
93,6.2,3,0,0,9
94,6.27,3,0,0,9
95,6.33,3,0,0,9
96,6.4,3,0,0,9
97,6.47,3,0,0,9
98,6.53,2,0,0,9
99,6.6,3,0,0,9
100,6.67,3,0,0,9
101,6.73,3,0,0,9
102,6.8,2,0,0,9
103,6.87,2,0,0,9
104,6.93,1,0,0,9
105,7.0,2,0,0,9
106,7.07,2,0,0,9
107,7.13,2,0,0,9
108,7.2,2,0,0,9
109,7.27,2,0,0,9
110,7.33,2,0,0,9
111,7.4,2,0,0,9
112,7.47,2,0,0,9
113,7.53,2,0,0,9
114,7.6,2,0,0,9
115,7.67,2,0,0,9
116,7.73,2,0,0,9
117,7.8,2,0,0,9
118,7.87,2,0,0,9
119,7.93,2,0,0,9
120,8.0,2,0,0,9
121,8.07,2,0,0,9
122,8.13,2,0,0,9
123,8.2,2,0,0,9
124,8.27,2,0,0,9
125,8.33,1,0,0,9
126,8.4,1,0,0,9
127,8.47,2,0,0,9
128,8.53,2,0,0,9
129,8.6,1,0,0,9
130,8.67,2,0,0,9
131,8.73,1,0,0,9
132,8.8,2,0,0,9
133,8.87,1,0,0,9
134,8.93,2,0,0,9
135,9.0,2,0,0,9
136,9.07,2,0,0,9
137,9.13,2,0,0,9
138,9.2,2,0,0,9
139,9.27,2,0,0,9
140,9.33,2,0,0,9
141,9.4,2,0,0,9
142,9.47,2,0,0,9
143,9.53,2,0,0,9
144,9.6,2,0,0,9
145,9.67,2,0,0,9
146,9.73,2,0,0,9
147,9.8,2,0,0,9
148,9.87,1,0,0,9
149,9.93,1,0,0,9
150,10.0,2,0,0,9
151,10.07,2,0,0,9
152,10.13,2,0,0,9
153,10.2,2,0,0,9
154,10.27,2,0,0,9
155,10.33,2,0,0,9
156,10.4,2,0,0,9
157,10.47,2,0,0,9
158,10.53,2,0,0,9
159,10.6,2,0,0,9
160,10.67,3,0,0,10
161,10.73,3,0,0,10
162,10.8,3,0,0,10
163,10.87,2,0,0,10
164,10.93,1,0,0,10
165,11.0,1,0,0,10
166,11.07,1,0,0,10
167,11.13,1,0,0,10
168,11.2,1,0,0,10
169,11.27,1,0,0,10
170,11.33,1,0,0,10
171,11.4,1,0,0,10
172,11.47,1,0,0,10
173,11.53,1,0,0,10
174,11.6,1,0,0,10
175,11.67,1,0,0,10
176,11.73,1,0,0,10
177,11.8,1,0,0,10
178,11.87,1,0,0,10
179,11.93,1,0,0,10
180,12.0,1,0,0,10
181,12.07,1,0,0,10
182,12.13,1,0,0,10
183,12.2,1,0,0,10
184,12.27,1,0,0,10
185,12.33,1,0,0,10
186,12.4,1,0,0,10
187,12.47,1,0,0,10
188,12.53,1,0,0,10
189,12.6,1,0,0,10
190,12.67,1,0,0,10
191,12.73,1,0,0,10
192,12.8,1,0,0,10
193,12.87,1,0,0,10
194,12.93,1,0,0,10
195,13.0,2,0,1,10
196,13.07,1,0,1,10
197,13.13,1,0,1,10
198,13.2,1,0,1,10
199,13.27,1,0,1,10
200,13.33,1,0,1,10
201,13.4,1,0,1,10
202,13.47,1,0,1,10
203,13.53,2,0,1,11
204,13.6,2,0,1,11
205,13.67,2,0,1,11
206,13.73,2,0,1,11
207,13.8,2,0,1,11
208,13.87,2,0,1,11
209,13.93,2,0,1,11
210,14.0,2,0,1,11
211,14.07,2,0,1,11
212,14.13,2,0,1,11
213,14.2,2,0,1,11
214,14.27,2,0,1,11
215,14.33,2,0,1,11
216,14.4,2,0,1,11
217,14.47,2,0,1,11
218,14.53,2,0,1,11
219,14.6,2,0,1,11
220,14.67,2,0,1,11
221,14.73,2,0,1,11
222,14.8,2,0,1,11
223,14.87,1,0,1,11
224,14.93,2,0,1,11
225,15.0,1,0,1,11
226,15.07,1,0,1,11
227,15.13,2,0,1,11
228,15.2,1,0,1,11
229,15.27,1,0,1,11
230,15.33,1,0,1,11
231,15.4,0,0,1,11
232,15.47,0,0,1,11
233,15.53,0,0,1,11
234,15.6,1,0,1,11
235,15.67,1,0,1,11
236,15.73,1,0,1,11
237,15.8,1,0,1,11
238,15.87,1,0,1,11
239,15.93,1,0,1,11
240,16.0,0,0,1,11
241,16.07,1,0,1,11
242,16.13,1,0,1,11
243,16.2,1,0,1,11
244,16.27,2,0,1,12
245,16.33,2,0,1,12
246,16.4,2,0,1,12
247,16.47,2,0,1,12
248,16.53,2,0,1,12
249,16.6,2,0,1,12
250,16.67,2,0,1,12
251,16.73,1,0,1,12
252,16.8,3,0,1,12
253,16.87,1,0,1,12
254,16.93,1,0,1,12
255,17.0,2,0,1,13
256,17.07,3,0,1,13
257,17.13,2,0,1,13
258,17.2,2,0,1,13
259,17.27,2,0,1,13
260,17.33,3,0,1,13
261,17.4,2,0,1,13
262,17.47,2,0,1,13
263,17.53,2,0,1,13
264,17.6,2,0,1,13
265,17.67,2,0,1,13
266,17.73,2,0,1,13
267,17.8,2,0,1,13
268,17.87,2,0,1,13
269,17.93,2,0,1,13
270,18.0,2,0,1,13
271,18.07,2,0,1,13
272,18.13,2,0,1,13
273,18.2,2,0,1,13
274,18.27,2,0,1,13
275,18.33,2,0,1,13
276,18.4,2,0,1,13
277,18.47,2,0,1,13
278,18.53,2,0,1,13
279,18.6,2,0,1,13
280,18.67,2,0,1,13
281,18.73,2,0,1,13
282,18.8,2,0,1,13
283,18.87,2,0,1,13
284,18.93,2,0,1,13
285,19.0,2,0,1,13
286,19.07,2,0,1,13
287,19.13,2,0,1,13
288,19.2,2,0,1,13
289,19.27,2,0,1,13
290,19.33,2,0,1,13
291,19.4,2,0,1,13
292,19.47,2,0,1,13
293,19.53,3,0,1,14
294,19.6,3,0,1,14
295,19.67,3,0,1,14
296,19.73,3,0,1,14
297,19.8,3,0,1,14
298,19.87,3,0,1,14
299,19.93,2,0,1,14
300,20.0,3,0,1,14
301,20.07,2,0,1,14
302,20.13,2,0,1,14
303,20.2,2,0,1,14
304,20.27,3,0,1,14
305,20.33,2,0,1,14
306,20.4,2,0,1,14
307,20.47,2,0,1,14
308,20.53,2,0,1,14
309,20.6,2,0,1,14
310,20.67,2,0,1,14
311,20.73,2,0,1,14
312,20.8,2,0,1,14
313,20.87,2,0,1,14
314,20.93,3,0,1,15
315,21.0,4,0,1,15
316,21.07,3,0,1,15
317,21.13,3,0,1,15
318,21.2,2,0,1,15
319,21.27,2,0,1,15
320,21.33,1,0,1,15
321,21.4,1,0,1,15
322,21.47,1,0,1,15
323,21.53,2,0,1,15
324,21.6,1,0,1,15
325,21.67,2,0,1,16
326,21.73,2,0,1,16
327,21.8,1,0,1,16
328,21.87,1,0,1,16
329,21.93,1,0,1,16
330,22.0,1,0,1,16
331,22.07,1,0,1,16
332,22.13,1,0,1,16
333,22.2,1,0,1,16
334,22.27,1,0,1,16
335,22.33,1,0,1,16
336,22.4,1,0,1,16
337,22.47,2,0,1,17
338,22.53,1,0,1,17
339,22.6,1,0,1,17
340,22.67,1,0,1,17
341,22.73,1,0,1,17
342,22.8,1,0,1,17
343,22.87,1,0,1,17
344,22.93,1,0,1,17
345,23.0,1,0,1,17
346,23.07,1,0,1,17
347,23.13,1,0,1,17
348,23.2,1,0,1,17
349,23.27,1,0,1,17
350,23.33,1,0,1,17
351,23.4,1,0,1,17
352,23.47,1,0,1,17
353,23.53,1,0,1,17
354,23.6,1,0,1,17
355,23.67,1,0,1,17
356,23.73,1,0,1,17
357,23.8,1,0,1,17
358,23.87,1,0,1,17
359,23.93,1,0,1,17
360,24.0,2,0,1,18
361,24.07,2,0,1,18
362,24.13,1,0,1,18
363,24.2,2,0,1,18
364,24.27,3,0,1,19
365,24.33,1,0,1,19
366,24.4,1,0,1,19
367,24.47,2,0,1,19
368,24.53,2,0,1,19
369,24.6,1,0,1,19
370,24.67,1,0,1,19
371,24.73,1,0,1,19
372,24.8,2,0,1,19
373,24.87,2,0,1,19
374,24.93,1,0,1,19
375,25.0,0,0,1,19
376,25.07,1,0,1,19
377,25.13,1,0,1,20
378,25.2,2,0,1,20
379,25.27,2,0,1,20
380,25.33,2,0,1,20
381,25.4,1,0,1,20
382,25.47,2,0,1,20
383,25.53,2,0,1,20
384,25.6,2,0,1,21
385,25.67,1,0,1,21
386,25.73,1,0,1,21
387,25.8,1,0,1,21
388,25.87,1,0,1,21
389,25.93,2,0,1,21
390,26.0,2,0,1,21
391,26.07,0,0,1,21
392,26.13,1,0,1,21
393,26.2,1,0,1,21
394,26.27,1,0,1,21
395,26.33,3,0,1,21
396,26.4,3,0,1,22
397,26.47,2,0,1,22
398,26.53,2,0,1,22
399,26.6,2,0,1,22
400,26.67,0,0,1,22
401,26.73,0,0,1,22
402,26.8,0,0,1,22
403,26.87,1,0,1,22
404,26.93,1,0,1,22
405,27.0,0,0,1,22
406,27.07,1,1,1,22
407,27.13,1,1,1,22
408,27.2,1,1,1,22
409,27.27,1,1,1,22
410,27.33,1,1,1,22
411,27.4,1,1,1,22
412,27.47,1,1,1,22
413,27.53,1,1,1,22
414,27.6,1,1,1,22
415,27.67,1,1,1,22
416,27.73,1,1,1,22
417,27.8,3,1,1,23
418,27.87,3,1,1,23
419,27.93,3,1,1,23
