epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.583,1.77638,2.19688,0.01333,0.72119,0.56516,0.63733,0.27668,1.94314,1.58915,0.01802,0.000663866,0.000663866,0.000663866
2,180.496,1.865,1.83603,0.01478,0.73944,0.57333,0.6377,0.28133,1.92567,1.6282,0.01822,0.00132175,0.00132175,0.00132175
3,248.465,1.91239,1.87529,0.01511,0.70785,0.58759,0.64087,0.28012,1.98262,1.53356,0.01872,0.00197084,0.00197084,0.00197084
4,314.733,1.84314,1.77311,0.01423,0.75924,0.62421,0.71943,0.34327,1.79513,1.39206,0.01675,0.0019604,0.0019604,0.0019604
5,382.231,1.80018,1.65099,0.01374,0.81322,0.61957,0.7146,0.33493,1.88306,1.3662,0.01733,0.0019472,0.0019472,0.0019472
6,448.651,1.74905,1.59864,0.01322,0.75719,0.60818,0.69923,0.34057,1.80567,1.49121,0.0164,0.001934,0.001934,0.001934
7,514.907,1.72927,1.53782,0.0132,0.8008,0.67992,0.76768,0.36993,1.76256,1.22527,0.01545,0.0019208,0.0019208,0.0019208
8,582.173,1.69167,1.46438,0.01268,0.81639,0.65415,0.75421,0.36062,1.76525,1.25125,0.01546,0.0019076,0.0019076,0.0019076
9,649.106,1.67131,1.43209,0.01236,0.82099,0.67862,0.77175,0.3992,1.71107,1.19278,0.01511,0.0018944,0.0018944,0.0018944
10,716.816,1.67572,1.41958,0.01254,0.84332,0.7128,0.80966,0.40698,1.71179,1.07503,0.01461,0.0018812,0.0018812,0.0018812
11,784.355,1.6572,1.36847,0.01237,0.84637,0.70405,0.78968,0.40756,1.69836,1.10771,0.01477,0.001868,0.001868,0.001868
12,851.592,1.63556,1.34406,0.012,0.84863,0.71025,0.8038,0.42206,1.66528,1.09388,0.01447,0.0018548,0.0018548,0.0018548
13,919.824,1.59827,1.31111,0.01184,0.85817,0.73513,0.82427,0.42648,1.67141,1.00365,0.01437,0.0018416,0.0018416,0.0018416
14,986.738,1.60719,1.33932,0.01187,0.84212,0.71067,0.81546,0.42249,1.64669,1.03962,0.01406,0.0018284,0.0018284,0.0018284
15,1053.84,1.58216,1.27694,0.01166,0.87123,0.71404,0.82394,0.44075,1.64584,0.99627,0.0141,0.0018152,0.0018152,0.0018152
16,1122.02,1.58464,1.26485,0.01151,0.84588,0.71194,0.80659,0.42762,1.66306,1.02388,0.01431,0.001802,0.001802,0.001802
17,1188.58,1.56522,1.23431,0.01129,0.87853,0.74736,0.84222,0.45713,1.59258,0.9389,0.01365,0.0017888,0.0017888,0.0017888
18,1255.4,1.56148,1.21039,0.01093,0.86508,0.74095,0.82776,0.43922,1.61924,0.96356,0.01385,0.0017756,0.0017756,0.0017756
19,1323.32,1.52389,1.19094,0.01103,0.87377,0.7678,0.85192,0.46962,1.57006,0.91175,0.0132,0.0017624,0.0017624,0.0017624
20,1401.02,1.52587,1.18263,0.01106,0.8607,0.77225,0.85978,0.47075,1.57093,0.90344,0.01324,0.0017492,0.0017492,0.0017492
21,1471.62,1.51716,1.17434,0.01107,0.85662,0.77562,0.8482,0.46068,1.6026,0.90916,0.01365,0.001736,0.001736,0.001736
22,1538,1.51246,1.17251,0.0109,0.8351,0.79029,0.8554,0.47427,1.53596,0.91469,0.01264,0.0017228,0.0017228,0.0017228
23,1605.03,1.50877,1.17223,0.01066,0.86352,0.76002,0.84993,0.46209,1.58157,0.98189,0.01321,0.0017096,0.0017096,0.0017096
24,1673.39,1.48657,1.13335,0.01065,0.86377,0.77553,0.85816,0.46387,1.56448,0.89525,0.01298,0.0016964,0.0016964,0.0016964
25,1739.42,1.48301,1.12631,0.0104,0.87964,0.77183,0.86109,0.48373,1.55177,0.83907,0.01287,0.0016832,0.0016832,0.0016832
26,1808.42,1.46672,1.07212,0.01027,0.86946,0.76974,0.85877,0.4785,1.55952,0.86832,0.01308,0.00167,0.00167,0.00167
27,1876.53,1.45921,1.08052,0.01042,0.87694,0.7634,0.85272,0.47804,1.554,0.86935,0.01285,0.0016568,0.0016568,0.0016568
28,1942.33,1.44644,1.06163,0.0102,0.87276,0.77478,0.86729,0.47883,1.52392,0.86184,0.01266,0.0016436,0.0016436,0.0016436
29,2010.52,1.42687,1.05872,0.00992,0.85952,0.78279,0.85824,0.47505,1.54976,0.85638,0.01303,0.0016304,0.0016304,0.0016304
