epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9443,1.80047,2.59122,0.01346,0.57454,0.43285,0.4559,0.19464,2.01697,2.04781,0.01952,0.000659091,0.000659091,0.000659091
2,82.6679,1.85664,1.84531,0.014,0.58523,0.42851,0.45256,0.18318,2.11742,2.08366,0.02069,0.00131701,0.00131701,0.00131701
3,115.239,1.90561,1.82574,0.01533,0.65336,0.46585,0.52607,0.20347,2.1878,1.94507,0.02131,0.00196612,0.00196612,0.00196612
4,149.847,1.8704,1.70316,0.01495,0.60536,0.44074,0.47262,0.1942,2.08528,2.27524,0.0202,0.0019604,0.0019604,0.0019604
5,179.617,1.83394,1.57394,0.01436,0.6676,0.48671,0.51894,0.19773,2.17005,1.89392,0.02056,0.0019472,0.0019472,0.0019472
6,207.509,1.79328,1.55334,0.01333,0.73104,0.52973,0.59633,0.25134,2.04646,1.7325,0.0187,0.001934,0.001934,0.001934
7,236.933,1.76043,1.52636,0.01289,0.62249,0.42556,0.44759,0.18554,2.22232,1.98704,0.02248,0.0019208,0.0019208,0.0019208
8,266.095,1.73846,1.50205,0.01283,0.76761,0.55377,0.62362,0.28283,2.00663,1.72398,0.01793,0.0019076,0.0019076,0.0019076
9,295.576,1.70131,1.40165,0.01287,0.70986,0.50527,0.56452,0.24076,2.11095,1.88145,0.02033,0.0018944,0.0018944,0.0018944
10,323.406,1.73768,1.37244,0.01281,0.76673,0.57022,0.63711,0.29678,1.94392,1.60895,0.0181,0.0018812,0.0018812,0.0018812
11,353.084,1.6942,1.33103,0.01267,0.78468,0.53986,0.61668,0.27453,2.00419,1.73003,0.01914,0.001868,0.001868,0.001868
12,383.329,1.6416,1.28968,0.01176,0.76542,0.53016,0.599,0.26776,2.06404,1.83339,0.01958,0.0018548,0.0018548,0.0018548
13,410.777,1.61034,1.2666,0.01179,0.81246,0.53943,0.62505,0.29479,1.97773,1.83593,0.01806,0.0018416,0.0018416,0.0018416
14,438.39,1.63834,1.2574,0.01165,0.77162,0.5542,0.61796,0.28563,1.96374,1.7223,0.01802,0.0018284,0.0018284,0.0018284
15,465.972,1.6303,1.21509,0.01161,0.72472,0.50232,0.56683,0.25276,2.05005,1.89344,0.01911,0.0018152,0.0018152,0.0018152
16,493.337,1.60006,1.2081,0.01158,0.76695,0.56137,0.62664,0.27359,1.96629,1.89346,0.01772,0.001802,0.001802,0.001802
17,520.952,1.58758,1.21103,0.01138,0.78066,0.58541,0.66129,0.3144,1.91307,1.50153,0.01796,0.0017888,0.0017888,0.0017888
18,553.745,1.57271,1.15693,0.01139,0.80601,0.57022,0.64429,0.32319,1.87066,1.66171,0.01774,0.0017756,0.0017756,0.0017756
19,582.704,1.55721,1.11961,0.01106,0.76543,0.48629,0.57029,0.29021,1.86156,1.91223,0.01717,0.0017624,0.0017624,0.0017624
20,612.527,1.56525,1.10917,0.01118,0.81538,0.53226,0.6002,0.29836,1.91222,2.04374,0.0171,0.0017492,0.0017492,0.0017492
21,640.91,1.53953,1.13693,0.01098,0.77742,0.56714,0.63605,0.32098,1.87926,1.59752,0.0169,0.001736,0.001736,0.001736
22,669.103,1.53244,1.11328,0.01099,0.83182,0.57275,0.66898,0.34835,1.76505,1.56224,0.0158,0.0017228,0.0017228,0.0017228
23,700.569,1.51847,1.1013,0.01092,0.81912,0.56516,0.64498,0.31305,1.90566,1.65602,0.01681,0.0017096,0.0017096,0.0017096
24,730.032,1.50011,1.08118,0.01065,0.83548,0.60312,0.68184,0.34081,1.84351,1.52788,0.01672,0.0016964,0.0016964,0.0016964
25,759.477,1.49424,1.05649,0.01053,0.82742,0.61029,0.69822,0.338,1.8568,1.51827,0.01734,0.0016832,0.0016832,0.0016832
26,788.66,1.51483,1.05308,0.01041,0.82641,0.6405,0.72187,0.37258,1.81425,1.33357,0.01647,0.00167,0.00167,0.00167
27,818.897,1.45726,1.02455,0.01018,0.82961,0.59722,0.68264,0.3526,1.80071,1.58356,0.01651,0.0016568,0.0016568,0.0016568
28,848.757,1.47479,1.0467,0.0101,0.78334,0.5175,0.58746,0.30216,1.84256,1.97569,0.01678,0.0016436,0.0016436,0.0016436
29,876.163,1.45355,1.00888,0.01013,0.82526,0.6065,0.69512,0.35896,1.79629,1.47486,0.01583,0.0016304,0.0016304,0.0016304
30,906.382,1.43128,0.98198,0.01006,0.83218,0.60017,0.67121,0.33749,1.87258,1.58534,0.01687,0.0016172,0.0016172,0.0016172
