epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9217,1.75515,2.22289,0.01445,0.70308,0.6152,0.65954,0.30813,1.93666,1.61853,0.01756,0.000663866,0.000663866,0.000663866
2,163.828,1.89619,1.87765,0.01625,0.692,0.45389,0.53175,0.23,2.12282,2.1043,0.02078,0.00132175,0.00132175,0.00132175
3,231.501,1.89688,1.8805,0.01591,0.5759,0.41965,0.44158,0.1709,2.28537,2.15156,0.02175,0.00197084,0.00197084,0.00197084
4,298.762,1.84168,1.78932,0.01551,0.73402,0.56685,0.64387,0.2768,1.93454,1.56976,0.01732,0.0019604,0.0019604,0.0019604
5,366.288,1.8005,1.7128,0.01487,0.74427,0.61253,0.68082,0.32454,1.87467,1.40814,0.01621,0.0019472,0.0019472,0.0019472
6,434.38,1.74955,1.65979,0.01469,0.7323,0.60143,0.68463,0.31861,1.85761,1.52832,0.01679,0.001934,0.001934,0.001934
7,501.515,1.72,1.58433,0.01419,0.80177,0.6363,0.73683,0.35266,1.83733,1.31485,0.01649,0.0019208,0.0019208,0.0019208
8,569.197,1.69232,1.49752,0.01361,0.78899,0.6879,0.76983,0.35714,1.76969,1.20552,0.01555,0.0019076,0.0019076,0.0019076
9,637.044,1.6619,1.50471,0.01373,0.82188,0.69088,0.77696,0.38084,1.75056,1.11092,0.01504,0.0018944,0.0018944,0.0018944
10,704.463,1.63674,1.45338,0.01309,0.82321,0.69591,0.77847,0.39803,1.70764,1.18473,0.01442,0.0018812,0.0018812,0.0018812
11,772.69,1.63612,1.40748,0.01335,0.84634,0.65276,0.76048,0.3913,1.71422,1.17916,0.01521,0.001868,0.001868,0.001868
12,840.843,1.60468,1.37377,0.01268,0.83361,0.72264,0.80702,0.41866,1.69868,1.03386,0.01476,0.0018548,0.0018548,0.0018548
13,909.322,1.59384,1.3426,0.01274,0.82047,0.72086,0.80898,0.41194,1.69849,1.10756,0.01466,0.0018416,0.0018416,0.0018416
14,977.057,1.58063,1.32403,0.01254,0.84653,0.70941,0.81075,0.41184,1.6783,1.04678,0.01454,0.0018284,0.0018284,0.0018284
15,1044.49,1.57154,1.29942,0.01254,0.83098,0.71109,0.80964,0.42104,1.67539,1.02944,0.01468,0.0018152,0.0018152,0.0018152
16,1113.25,1.55484,1.26263,0.01238,0.83518,0.71808,0.80598,0.4235,1.67263,1.03013,0.01445,0.001802,0.001802,0.001802
17,1182.05,1.53089,1.2409,0.01189,0.85186,0.74943,0.83356,0.45307,1.58297,0.98864,0.01344,0.0017888,0.0017888,0.0017888
18,1250.76,1.53012,1.24776,0.01189,0.8365,0.73582,0.82258,0.44436,1.6056,0.99288,0.01386,0.0017756,0.0017756,0.0017756
